tree,branch
DDQCDGJets/srbbggMET;1,lead_pho_pt
DDQCDGJets/srbbggMET;1,lead_pho_eta
DDQCDGJets/srbbggMET;1,lead_pho_phi
DDQCDGJets/srbbggMET;1,sublead_pho_pt
DDQCDGJets/srbbggMET;1,sublead_pho_eta
DDQCDGJets/srbbggMET;1,sublead_pho_phi
DDQCDGJets/srbbggMET;1,lead_bjet_pt
DDQCDGJets/srbbggMET;1,lead_bjet_eta
DDQCDGJets/srbbggMET;1,lead_bjet_phi
DDQCDGJets/srbbggMET;1,sublead_bjet_pt
DDQCDGJets/srbbggMET;1,sublead_bjet_eta
DDQCDGJets/srbbggMET;1,sublead_bjet_phi
DDQCDGJets/srbbggMET;1,dibjet_mass
DDQCDGJets/srbbggMET;1,diphoton_mass
DDQCDGJets/srbbggMET;1,bbgg_mass
DDQCDGJets/srbbggMET;1,dibjet_pt
DDQCDGJets/srbbggMET;1,diphoton_pt
DDQCDGJets/srbbggMET;1,bbgg_pt
DDQCDGJets/srbbggMET;1,bbgg_eta
DDQCDGJets/srbbggMET;1,bbgg_phi
DDQCDGJets/srbbggMET;1,DeltaPhi_j1MET
DDQCDGJets/srbbggMET;1,DeltaPhi_j2MET
DDQCDGJets/srbbggMET;1,Res_chi_t0
DDQCDGJets/srbbggMET;1,Res_chi_t1
DDQCDGJets/srbbggMET;1,lepton1_mvaID
DDQCDGJets/srbbggMET;1,lepton1_pt
DDQCDGJets/srbbggMET;1,lepton1_pfIsoId
DDQCDGJets/srbbggMET;1,n_jets
DDQCDGJets/srbbggMET;1,weight_central
DDQCDGJets/srbbggMET;1,dibjet_eta
DDQCDGJets/srbbggMET;1,dibjet_phi
DDQCDGJets/srbbggMET;1,diphoton_eta
DDQCDGJets/srbbggMET;1,diphoton_phi
DDQCDGJets/srbbggMET;1,lead_bjet_PNetB
DDQCDGJets/srbbggMET;1,sublead_bjet_PNetB
DDQCDGJets/srbbggMET;1,lead_bjet_PNetRegPtRawRes
DDQCDGJets/srbbggMET;1,sublead_bjet_PNetRegPtRawRes
DDQCDGJets/srbbggMET;1,pholead_PtOverM
DDQCDGJets/srbbggMET;1,phosublead_PtOverM
DDQCDGJets/srbbggMET;1,FirstJet_PtOverM
DDQCDGJets/srbbggMET;1,SecondJet_PtOverM
DDQCDGJets/srbbggMET;1,CosThetaStar_CS
DDQCDGJets/srbbggMET;1,CosThetaStar_jj
DDQCDGJets/srbbggMET;1,CosThetaStar_gg
DDQCDGJets/srbbggMET;1,DeltaR_jg_min
DDQCDGJets/srbbggMET;1,lead_pt_over_diphoton_mass
DDQCDGJets/srbbggMET;1,sublead_pt_over_diphoton_mass
DDQCDGJets/srbbggMET;1,lead_pt_over_dibjet_mass
DDQCDGJets/srbbggMET;1,sublead_pt_over_dibjet_mass
DDQCDGJets/srbbggMET;1,diphoton_bbgg_mass
DDQCDGJets/srbbggMET;1,dibjet_bbgg_mass
DDQCDGJets/srbbggMET;1,lead_pho_mvaID_WP90
DDQCDGJets/srbbggMET;1,lead_pho_mvaID_WP80
DDQCDGJets/srbbggMET;1,sublead_pho_mvaID_WP90
DDQCDGJets/srbbggMET;1,sublead_pho_mvaID_WP80
DDQCDGJets/srbbggMET;1,lead_pho_mvaID
DDQCDGJets/srbbggMET;1,sublead_pho_mvaID
DDQCDGJets/srbbggMET;1,max_gamma_MVA_ID
DDQCDGJets/srbbggMET;1,preselection
DDQCDGJets/srbbggMET;1,selection
DDQCDGJets/srbbggMET;1,srbbgg
DDQCDGJets/srbbggMET;1,srbbggMET
DDQCDGJets/srbbggMET;1,crbbantigg
DDQCDGJets/srbbggMET;1,crantibbgg
