category,value
Common columns (UP & DOWN),fatjet3_subjet2_pt
Common columns (UP & DOWN),fatjet3_subjet2_rawFactor
Common columns (UP & DOWN),fatjet3_tau1
Common columns (UP & DOWN),fatjet3_tau2
Common columns (UP & DOWN),fatjet3_tau3
Common columns (UP & DOWN),fatjet3_tau4
Common columns (UP & DOWN),fatjet4_area
Common columns (UP & DOWN),fatjet4_btagDDBvLV2
Common columns (UP & DOWN),fatjet4_btagDDCvBV2
Common columns (UP & DOWN),fatjet4_btagDDCvLV2
Common columns (UP & DOWN),fatjet4_btagDeepB
Common columns (UP & DOWN),fatjet4_btagHbb
Common columns (UP & DOWN),fatjet4_eta
Common columns (UP & DOWN),fatjet4_genFlav
Common columns (UP & DOWN),fatjet4_genMatched
Common columns (UP & DOWN),fatjet4_genMatched_Hbb
Common columns (UP & DOWN),fatjet4_genjetAK8_eta
Common columns (UP & DOWN),fatjet4_genjetAK8_hadronFlavour
Common columns (UP & DOWN),fatjet4_genjetAK8_mass
Common columns (UP & DOWN),fatjet4_genjetAK8_partonFlavour
Common columns (UP & DOWN),fatjet4_genjetAK8_phi
Common columns (UP & DOWN),fatjet4_genjetAK8_pt
Common columns (UP & DOWN),fatjet4_hadronFlavour
Common columns (UP & DOWN),fatjet4_jetId
Common columns (UP & DOWN),fatjet4_mass
Common columns (UP & DOWN),fatjet4_msoftdrop
Common columns (UP & DOWN),fatjet4_n2b1
Common columns (UP & DOWN),fatjet4_n3b1
Common columns (UP & DOWN),fatjet4_nBHadrons
Common columns (UP & DOWN),fatjet4_nCHadrons
Common columns (UP & DOWN),fatjet4_nConstituents
Common columns (UP & DOWN),fatjet4_particleNetWithMass_HbbvsQCD
Common columns (UP & DOWN),fatjet4_particleNetWithMass_QCD
Common columns (UP & DOWN),fatjet4_particleNet_QCD
Common columns (UP & DOWN),fatjet4_particleNet_QCD0HF
Common columns (UP & DOWN),fatjet4_particleNet_QCD1HF
Common columns (UP & DOWN),fatjet4_particleNet_QCD2HF
Common columns (UP & DOWN),fatjet4_particleNet_XbbVsQCD
Common columns (UP & DOWN),fatjet4_particleNet_XccVsQCD
Common columns (UP & DOWN),fatjet4_particleNet_XggVsQCD
Common columns (UP & DOWN),fatjet4_particleNet_XqqVsQCD
Common columns (UP & DOWN),fatjet4_particleNet_massCorr
Common columns (UP & DOWN),fatjet4_phi
Common columns (UP & DOWN),fatjet4_pt
Common columns (UP & DOWN),fatjet4_pt_orig
Common columns (UP & DOWN),fatjet4_rawFactor
Common columns (UP & DOWN),fatjet4_subjet1_btagDeepB
Common columns (UP & DOWN),fatjet4_subjet1_eta
Common columns (UP & DOWN),fatjet4_subjet1_mass
Common columns (UP & DOWN),fatjet4_subjet1_phi
