mX,mY,region,eff_Loose,eff_Medium,eff_Tight,missing_years
400,250,srbbgg,0.781717,0.572345,0.366820,
450,90,srbbgg,0.829606,0.623714,0.423090,
450,95,srbbgg,0.836021,0.625751,0.417108,
450,100,srbbgg,0.827179,0.623571,0.419636,
450,125,srbbgg,0.809086,0.592933,0.392428,
450,150,srbbgg,0.799520,0.583868,0.385418,
450,170,srbbgg,0.796014,0.575490,0.372732,
450,200,srbbgg,0.779202,0.564733,0.365622,
450,250,srbbgg,0.764776,0.546346,0.340482,
450,300,srbbgg,0.752516,0.537506,0.332655,
500,90,srbbgg,0.834450,0.622158,0.414069,
500,95,srbbgg,0.829253,0.614077,0.409750,
500,100,srbbgg,0.825490,0.611828,0.401990,
500,125,srbbgg,0.834229,0.626921,0.421362,2024:no-file
500,150,srbbgg,0.797399,0.572371,0.369022,
500,170,srbbgg,0.788678,0.564235,0.356547,
500,200,srbbgg,0.776874,0.549054,0.349600,
500,250,srbbgg,0.755884,0.530420,0.327230,
500,300,srbbgg,0.737912,0.511325,0.309488,
500,350,srbbgg,0.717224,0.493039,0.298510,
550,90,srbbgg,0.828138,0.612854,0.404927,
550,95,srbbgg,0.822203,0.604408,0.400919,
550,100,srbbgg,0.821535,0.602492,0.396923,
550,125,srbbgg,0.807303,0.583484,0.378981,
550,150,srbbgg,0.798216,0.572500,0.362926,
550,170,srbbgg,0.783478,0.554855,0.353296,
550,200,srbbgg,0.770541,0.538994,0.335219,
550,250,srbbgg,0.748326,0.518196,0.320247,
550,300,srbbgg,0.724923,0.490098,0.294958,
550,350,srbbgg,0.708446,0.474131,0.281240,
550,400,srbbgg,0.698193,0.467195,0.275567,
600,90,srbbgg,0.830627,0.609375,0.402820,
600,95,srbbgg,0.826183,0.603926,0.394333,
600,100,srbbgg,0.815012,0.592449,0.388469,
600,125,srbbgg,0.807259,0.578796,0.375618,
600,150,srbbgg,0.791074,0.556124,0.348330,
600,170,srbbgg,0.787424,0.554570,0.346867,
600,200,srbbgg,0.765392,0.526616,0.326398,
600,250,srbbgg,0.745136,0.506714,0.305727,
600,300,srbbgg,0.721377,0.482095,0.283700,
600,350,srbbgg,0.704160,0.470821,0.271383,
600,400,srbbgg,0.687130,0.448020,0.257943,
600,450,srbbgg,0.671416,0.439014,0.253304,
650,90,srbbgg,0.828363,0.607489,0.391003,
650,95,srbbgg,0.819776,0.598601,0.389835,
650,100,srbbgg,0.818175,0.590864,0.381345,
650,125,srbbgg,0.800914,0.569607,0.358914,
650,150,srbbgg,0.788151,0.553253,0.347028,
650,170,srbbgg,0.779976,0.536819,0.329770,
650,200,srbbgg,0.765127,0.521235,0.320027,
650,250,srbbgg,0.742287,0.495366,0.301253,
650,300,srbbgg,0.715410,0.473653,0.278755,
650,350,srbbgg,0.691168,0.447800,0.261762,
650,400,srbbgg,0.679087,0.436373,0.246654,
650,450,srbbgg,0.656829,0.419049,0.235363,
650,500,srbbgg,0.646357,0.413423,0.228239,
700,90,srbbgg,0.821126,0.596141,0.384740,
700,95,srbbgg,0.821847,0.588263,0.379353,
700,100,srbbgg,0.817250,0.585131,0.380288,
700,125,srbbgg,0.799118,0.562429,0.353771,
700,150,srbbgg,0.781665,0.542673,0.339173,
700,170,srbbgg,0.776751,0.529276,0.325063,
700,200,srbbgg,0.756055,0.511373,0.309042,
700,250,srbbgg,0.738039,0.488127,0.285858,
700,300,srbbgg,0.717716,0.473380,0.278593,
700,350,srbbgg,0.697195,0.452867,0.260689,
700,400,srbbgg,0.674534,0.425429,0.239114,
700,450,srbbgg,0.660846,0.409249,0.228834,
700,500,srbbgg,0.633152,0.392441,0.213884,
700,550,srbbgg,0.620982,0.385486,0.206199,
750,90,srbbgg,0.819820,0.588564,0.377905,
750,95,srbbgg,0.818382,0.585611,0.375269,
750,100,srbbgg,0.810047,0.578716,0.369585,
750,125,srbbgg,0.797225,0.555171,0.350510,
750,150,srbbgg,0.781563,0.537295,0.328795,
750,170,srbbgg,0.770890,0.527458,0.321986,
750,200,srbbgg,0.755207,0.507887,0.306575,
750,250,srbbgg,0.728205,0.480221,0.283114,
750,300,srbbgg,0.710600,0.455970,0.266762,
750,350,srbbgg,0.689308,0.436150,0.249492,
750,400,srbbgg,0.668819,0.417823,0.230240,
750,450,srbbgg,0.649242,0.407717,0.225772,
750,500,srbbgg,0.629387,0.388621,0.207963,
750,550,srbbgg,0.609940,0.372060,0.203288,
750,600,srbbgg,0.604779,0.368392,0.195916,
800,90,srbbgg,0.816128,0.583483,0.373636,
800,95,srbbgg,0.814362,0.578510,0.367988,
800,100,srbbgg,0.810857,0.577199,0.362406,
800,125,srbbgg,0.797548,0.551312,0.344226,
800,150,srbbgg,0.778549,0.535836,0.326830,
800,170,srbbgg,0.768691,0.521917,0.316100,
800,200,srbbgg,0.753003,0.500675,0.299846,
800,250,srbbgg,0.726766,0.476812,0.280098,
800,300,srbbgg,0.708650,0.452579,0.260459,
800,350,srbbgg,0.686136,0.438385,0.247454,
